337,338,479,480,481,559,560,309,143,7,292,12,2,4,25,22,13,259,340,26,106,324,90,334,341,483,39,76,478,471,332,20,140,207,45,1,112,328,199,339,390,104,148,342,318,358,333,15,432,368,253,236,161,99,288,351,302,488,16,285,28,451,165,321,364,388,353,263,36,482,470,18,72,80,443,382,9,65,269,102,394,261,206,326,331,362,166,469,343,125,305,10,136,159,277,8,271,513,110,402,174,355,56,46,465,371,32,58,5,490,428,486,477,617,295,344,59,185,517,73,304,385,447,150,197,53,296,418,437,71,414,50,421,33,636,400,6,14,439,57,507,184,376,49,317,383,313,540,191,310,377,529,51,23,363,27,55,173,568,336,260,196,192,536,589,105,88,323,129,247,500,548,412,130,142,214,419,509,444,441,599,457,409,430,426,61,472,34,365,242,21,133,77,204,63,359,378,347,301,286,64,113,19,44,84,381,284,171,330,234,219,293,123,460,30,637,417,222,3,149,515,193,389,85,585,126,135,611,134,615,38,122,531,167,224,60,11,434,40,544,24,316,558,109,17,489,177,565,501,578,69,475,624,631,155,527,622,533,528,556,534,524,473,272,346,446,629,581,424,619,93,572,107,452,393,279,492,258,320,35,213,319,128,189,215,438,350,427,240,81,162,231,484,89,175,391,516,157,211,201,401,180,97,449,146,431,195,366,43,226,311,274,354,407,47,474,98,29,519,396,372,329,94,406,254,114,252,440,628,357,250,508,152,266,587,640,48,567,186,52,153,608,119,590,248,420,315,562,433,327,491,243,137,494,499,62,564,511,178,270,68,187,74,262,264,601,453,117,356,138,423,227,306,216,411,404,312,139,398,282,244,386,349,413,283,220,348,280,380,79,455,238,251,91,141,249,42,225,205,92,223,245,67,188,367,108,360,374,289,229,496,294,576,70,307,118,600,158,151,429,217,405,291,298,208,267,127,415,557,493,462,551,203,96,634,287,120,546,550,101,487,485,553,164,230,83,75,273,584,596,510,538,555,579,561,616,577,335,522,630,497,241,403,549,521,621,82,210,543,198,54,618,593,422,78,583,638,563,635,467,603,416,604,373,592,276,100,627,202,103,303,588,95,461,503,625,397,450,607,384,632,436,300,609,506,308,87,552,504,582,520,545,573,620,586,610,595,512,168,602,613,297,542,268,597,463,218,514,232,532,212,574,256,566,369,392,639,454,116,66,466,498,111,190,458,495,442,352,445,633,265,37,322,176,502,399,598,614,121,325,169,537,361,569,172,144,554,591,131,580,612,468,233,115,464,525,539,571,387,370,541,530,179,299,523,459,476,410,183,505,290,255,345,379,194,160,132,375,435,623,124,448,200,156,275,145,570,41,314,425,605,526,182,31,237,518,170,575,547,594,209,626,239,535,163,221,456,235,181,257,154,281,86,246,408,395,147,228,606,278,
Laplacian Score information
337 : 0.0776878183239
338 : 0.0776878183239
479 : 0.0776878183239
480 : 0.0776878183239
481 : 0.0776878183239
559 : 0.0776878183239
560 : 0.0776878183239
309 : 0.202227186074
143 : 0.561143430354
7 : 0.575840170904
292 : 0.592305600932
12 : 0.597497131015
2 : 0.62092974275
4 : 0.639133847325
25 : 0.63935558505
22 : 0.646834027413
13 : 0.660458643326
259 : 0.672656164974
340 : 0.674028198671
26 : 0.677812381162
106 : 0.695592451739
324 : 0.696713890097
90 : 0.701600934296
334 : 0.704744175366
341 : 0.705565602926
483 : 0.705565602926
39 : 0.708352914347
76 : 0.71213815986
478 : 0.717818532355
471 : 0.724125359632
332 : 0.728372027881
20 : 0.730709825745
140 : 0.730798598733
207 : 0.741350641814
45 : 0.741439846693
1 : 0.746802756589
112 : 0.747076994478
328 : 0.747576413499
199 : 0.749591971476
339 : 0.749971993284
390 : 0.751026341574
104 : 0.755127566781
148 : 0.757084765769
342 : 0.758802070884
318 : 0.760562937225
358 : 0.765530336509
333 : 0.768716979991
15 : 0.769237919878
432 : 0.775982675933
368 : 0.777992719685
253 : 0.77987831302
236 : 0.784735023947
161 : 0.785671211752
99 : 0.787206409904
288 : 0.791402217074
351 : 0.793479241253
302 : 0.795339936146
488 : 0.795567753735
16 : 0.799023698809
285 : 0.800736350796
28 : 0.802281337624
451 : 0.803940738294
165 : 0.804221953723
321 : 0.805190298385
364 : 0.806007590498
388 : 0.80647592798
353 : 0.80665309722
263 : 0.807615172451
36 : 0.808135733183
482 : 0.809396933201
470 : 0.810880552536
18 : 0.811082726235
72 : 0.816909003456
80 : 0.818118459871
443 : 0.819634978606
382 : 0.824455184257
9 : 0.826465570939
65 : 0.82722516649
269 : 0.827358842744
102 : 0.827474363731
394 : 0.828094965092
261 : 0.828593362257
206 : 0.830177627658
326 : 0.830232505901
331 : 0.830282689104
362 : 0.830430857541
166 : 0.833053015482
469 : 0.834239600434
343 : 0.834633901368
125 : 0.835163794193
305 : 0.837341749981
10 : 0.837582758039
136 : 0.83792148882
159 : 0.838521938186
277 : 0.838563469022
8 : 0.838591458935
271 : 0.83958625849
513 : 0.839714828265
110 : 0.841676833742
402 : 0.841746508934
174 : 0.842221597175
355 : 0.843464965888
56 : 0.843792220961
46 : 0.844140871701
465 : 0.844905249735
371 : 0.845304509923
32 : 0.846290343507
58 : 0.846392698921
5 : 0.846957708969
490 : 0.848894996778
428 : 0.848941636156
486 : 0.849260449075
477 : 0.849336861484
617 : 0.851816091993
295 : 0.852221839187
344 : 0.852410462856
